id,hour_of_a_day,category,keyword,search_steps,filters_count,results,ad_views
1e9c2c6efe8cc233c06938dd81638b14,19,motoryzacja,,6,4,631,0
3ade5409bc75774a55e6aa7460058247,11,motoryzacja,Honda 125 cr,6,0,1,0
1586da82d8ad47334b33764880d59472,1,motoryzacja,,33,1,164,1
a4c59689294cf418f2243df484b1230b,4,motoryzacja,,2,0,211,0
c220f98656840e321d4424a6b9e31cee,17,sport-hobby,Joytech,35,0,58,1
852e22900a4519cd0fddafc96263740a,16,dom-ogrod,,1,0,0,0
95f4bc7c6a4117c76367ff733d2aa967,12,motoryzacja,,8,3,6,0
c134375f86831a82181685cc9f9eaabf,18,nieruchomosci,,46,0,56,2
d4d82af337b6f7115ac1a69d9ce053a2,21,zwierzeta,roczny,1,0,59,0
c8e70d239b34628e2a302d7b57edffd2,7,rolnictwo,beczkowóz,1,0,13,0
397f6b925fad4357e8d1973b5960771b,16,rolnictwo,44,10,0,12,0
e0a4076f7b430da73b996cecfde78c38,22,dom-ogrod,krzesło,4,0,12,0
343f26463b834d976752a92c00a9e818,8,nieruchomosci,ogródki działkowe..,1,0,2,0
d6751fb78f0d7127cf459d240aaec872,16,motoryzacja,17 5x112,12,0,6,0
737f5ae11cda07ac80c7996d786646c4,8,uslugi-firmy,,1,1,232,0
11fb724f48ab972c8f6ecd4e617c3cb3,8,dla-dzieci,rowerek,14,0,33,0
289723dd876853fdfd39bcc2ae12f1f0,20,dla-dzieci,fotelik samochodowy,1,1,190,0
909080c56c00592e59656ed1a3ef3f78,8,motoryzacja,,2,0,91,0
f4571e424ba4d1ca0fd1a35bf8d5b9a4,20,motoryzacja,,21,4,9,2
5f6a142d6bd1d5684b0d617bd35bfdd6,11,dom-ogrod,rama do obrazu,7,0,561,0
daf567d7fd58e105a6628faed9f4d4f2,17,nieruchomosci,,1,0,476,0
482753a9c0c6c5d152b7b37e976cea27,9,dom-ogrod,piecyk koza,107,0,322,6
0752ef47b2c3eb74d062d4e825a73a4c,12,rolnictwo,,2,1,309,0
